Year,news_count,news_sentiment,Close,volatility
2006,2.0,0.0073436196362508055,1.965888884332445,0.04730557070838073
2007,10.0,0.003755098576362345,3.3614740989122733,0.10231872383816779
2008,13.0,0.0031115417176639432,3.49400197470141,0.18649604150900254
2009,12.0,0.001957186156396602,4.364091266715337,0.14462698168224752
2010,18.0,0.007263031827077452,6.957019838075789,0.19563295727684382
2011,24.0,0.006414397644678988,9.833601175792634,0.29632540354653
2012,45.0,0.010051296022882142,11.01518200302124,0.2545300178527832
2013,24.0,0.010509254245604066,14.901579402741932,0.3134741934518964
2014,26.0,0.008742821524120472,16.627551608615452,0.3886051291511173
2015,21.0,0.006240019823287464,23.90691463909452,0.5157042874230279
2016,25.0,0.007368412261922899,34.97615664345877,0.6579364216516888
2017,32.0,0.012736017248620701,48.40835056076962,0.6892350641379793
2018,19.0,0.0061490977937648785,82.08630852870257,2.1499661905357086
2019,29.0,0.008750801971857965,89.4594602433462,1.473638807024275
2020,34.0,0.011786781886300527,134.04275452383894,3.7339764319860893
2021,15.0,0.007126998712576434,165.7338090446127,3.1640276884912844
