date,query,count
2022-02-01,Amazon Web Services,10
2022-02-02,Amazon Web Services,10
2022-02-03,Amazon Web Services,10
2022-02-04,Amazon Web Services,10
2022-02-05,Amazon Web Services,10
2022-02-06,Amazon Web Services,10
2022-02-07,Amazon Web Services,10
2022-02-08,Amazon Web Services,10
2022-02-09,Amazon Web Services,10
2022-02-10,Amazon Web Services,10
2022-02-11,Amazon Web Services,10
2022-02-12,Amazon Web Services,10
2022-02-13,Amazon Web Services,10
2022-02-14,Amazon Web Services,10
2022-02-15,Amazon Web Services,10
2022-02-16,Amazon Web Services,10
2022-02-17,Amazon Web Services,10
2022-02-18,Amazon Web Services,10
2022-02-19,Amazon Web Services,10
2022-02-20,Amazon Web Services,10
2022-02-21,Amazon Web Services,10
2022-02-22,Amazon Web Services,10
2022-02-23,Amazon Web Services,10
2022-02-24,Amazon Web Services,10
2022-02-25,Amazon Web Services,10
2022-02-26,Amazon Web Services,10
2022-02-27,Amazon Web Services,10
2022-02-28,Amazon Web Services,10
2022-03-01,Amazon Web Services,10
2022-03-02,Amazon Web Services,10
2022-03-03,Amazon Web Services,10
2022-03-04,Amazon Web Services,10
2022-03-05,Amazon Web Services,10
2022-03-06,Amazon Web Services,10
2022-03-07,Amazon Web Services,10
2022-03-08,Amazon Web Services,50
2022-03-09,Amazon Web Services,50
2022-03-10,Amazon Web Services,50
2022-03-11,Amazon Web Services,50
2022-03-12,Amazon Web Services,50
2022-03-13,Amazon Web Services,50
2022-03-14,Amazon Web Services,50
2022-03-15,Amazon Web Services,50
2022-03-16,Amazon Web Services,50
2022-03-17,Amazon Web Services,50
2022-03-18,Amazon Web Services,50
2022-03-19,Amazon Web Services,50
2022-03-20,Amazon Web Services,50
2022-03-21,Amazon Web Services,50
2022-03-22,Amazon Web Services,50
2022-03-23,Amazon Web Services,100
2022-03-24,Amazon Web Services,100
2022-03-25,Amazon Web Services,100
2022-03-26,Amazon Web Services,40
2022-03-27,Amazon Web Services,0
2022-03-28,Amazon Web Services,0
2022-03-29,Amazon Web Services,0
2022-03-30,Amazon Web Services,0
2022-03-31,Amazon Web Services,0
2022-04-01,Amazon Web Services,0
2022-04-02,Amazon Web Services,0
2022-04-03,Amazon Web Services,0
2022-04-04,Amazon Web Services,0
2022-04-05,Amazon Web Services,0
2022-04-06,Amazon Web Services,0
2022-04-07,Amazon Web Services,0
2022-04-08,Amazon Web Services,0
2022-04-09,Amazon Web Services,0
2022-04-10,Amazon Web Services,0
2022-04-11,Amazon Web Services,0
2022-04-12,Amazon Web Services,0
2022-04-13,Amazon Web Services,0
2022-04-14,Amazon Web Services,0
2022-04-15,Amazon Web Services,0
2022-04-16,Amazon Web Services,0
2022-04-17,Amazon Web Services,0
2022-04-18,Amazon Web Services,0
2022-04-19,Amazon Web Services,0
2022-04-20,Amazon Web Services,0
2022-04-21,Amazon Web Services,0
2022-04-22,Amazon Web Services,0
2022-04-23,Amazon Web Services,0
